MAT AR IS:
 2.368000e-01  2.471000e-01  2.568000e-01  1.267100e+00 
 1.116100e+00  1.254000e-01  1.397000e-01  1.490000e-01 
 1.582000e-01  1.167500e+00  1.768000e-01  1.871000e-01 
 1.968000e-01  2.071000e-01  1.216800e+00  2.271000e-01 

MAT AI IS:
 1.345000e-01  1.678000e-01  1.875000e-01  1.116100e+00 
 1.267100e+00  2.017000e-01  7.024000e-01  2.721000e-01 
-2.836000e-01 -1.196700e+00  3.558000e-01 -2.078000e-01 
 3.576000e-01 -1.234500e+00  2.118500e+00  4.773000e-01 

MAT AR- IS:
-5.669986e-03  4.851151e-01  2.166018e-02 -1.874068e-01 
-6.996602e-02 -4.714739e-02  5.546471e-01 -5.583729e-02 
-1.763916e-01 -1.421441e-01  7.371922e-02  2.620023e-01 
 4.848230e-01 -3.106411e-02 -1.258590e-01 -2.498309e-03 

MAT AI- IS:
 4.506499e-02 -4.816759e-01 -2.382550e-01  1.211980e-01 
 1.162225e-01  1.487048e-01  5.124807e-01 -1.430340e-01 
 1.032388e-01  1.142015e-01  4.515873e-01 -4.689941e-01 
-4.430876e-01  4.101886e-02 -1.227346e-01  9.101123e-02 

MAT CR=AA- IS:
 1.000000e+00 -2.775558e-17 -1.734723e-17 -1.170938e-17 
-1.387779e-17  1.000000e+00 -6.938894e-17 -4.065758e-17 
 0.000000e+00  1.301043e-17  1.000000e+00 -2.168404e-18 
-5.551115e-17 -3.903128e-17  3.469447e-17  1.000000e+00 

MAT CI=AA- IS:
 3.122502e-17  2.081668e-17  1.110223e-16 -2.168404e-18 
-1.387779e-17  1.474515e-17 -1.040834e-17 -2.873136e-17 
 1.019150e-17  2.913793e-17  2.133710e-16 -1.973248e-17 
 2.081668e-17 -1.474515e-17  3.677614e-16  2.699663e-17 
