MAT A IS:
 2.368000e-01  2.471000e-01  2.568000e-01  1.267100e+00 
 1.116100e+00  1.254000e-01  1.397000e-01  1.490000e-01 
 1.582000e-01  1.167500e+00  1.768000e-01  1.871000e-01 
 1.968000e-01  2.071000e-01  1.216800e+00  2.271000e-01 

MAT A- IS:
-8.592075e-02  9.379443e-01 -6.843720e-02 -7.960772e-02 
-1.055899e-01 -8.852432e-02  9.059826e-01 -9.919081e-02 
-1.270733e-01 -1.113511e-01 -1.169667e-01  8.784253e-01 
 8.516058e-01 -1.354557e-01 -1.401826e-01 -1.438075e-01 

MAT AA- IS:
 1.000000e+00 -3.375935e-17 -2.303930e-19 -1.111307e-17 
-7.589415e-18  1.000000e+00 -2.817232e-18  9.640929e-18 
-8.104411e-18  3.671549e-17  1.000000e+00  2.012211e-17 
-2.813505e-17 -1.471296e-17 -1.776397e-17  1.000000e+00 
