
      x(i)          y(i)          dy(i)         ddy(i)
   5.20000e-01   5.28794e+00   1.86548e+00  -2.79319e-01
   8.00000e+00   1.38400e+01   7.43662e-01  -2.06327e-02
   1.79500e+01   2.02000e+01   5.32912e-01  -2.17292e-02
   2.86500e+01   2.49000e+01   3.68185e-01  -9.06092e-03
   5.06500e+01   3.11000e+01   2.08755e-01  -5.43268e-03
   1.04600e+02   3.65000e+01   2.93142e-02  -1.21944e-03
   1.56600e+02   3.66000e+01  -2.11538e-02  -7.21641e-04
   2.60700e+02   3.10000e+01  -8.15142e-02  -4.38020e-04
   3.64400e+02   2.09000e+01  -1.06449e-01  -4.28883e-05
   4.68000e+02   7.80000e+00  -1.64223e-01  -1.07244e-03
   5.07000e+02   1.50000e+00  -1.35256e-01   2.55796e-03
   5.20000e+02   2.00000e-01  -4.61150e-02   1.11560e-02

s=1.29044e+04

      t(i)          z(i)          dz(i)         ddz(i)
   4.00000e+00   1.03314e+01   1.10286e+00  -1.58967e-01
   1.40000e+01   1.79266e+01   6.17882e-01  -2.12939e-02
   3.00000e+01   2.53889e+01   3.56103e-01  -8.83827e-03
   6.00000e+01   3.28250e+01   1.61373e-01  -4.70249e-03
   1.30000e+02   3.68774e+01   1.42856e-03  -9.76284e-04
   2.30000e+02   3.32829e+01  -6.67831e-02  -5.21662e-04
   4.50000e+02   1.05919e+01  -1.46529e-01  -8.93563e-04
   5.15000e+02   5.56246e-01  -9.36277e-02   7.84907e-03

