
 x(i) y(i)=sin(x) dy(i)=cos(x) ddy(i)=-sin(x)
   0.0  0.000000   0.999995    0.000000
   5.0  0.087156   0.996197   -0.087045
  10.0  0.173648   0.984803   -0.174089
  15.0  0.258818   0.965928   -0.258489
  20.0  0.342020   0.939688   -0.342889
  25.0  0.422617   0.906310   -0.422080
  30.0  0.500000   0.866021   -0.501271
  35.0  0.573575   0.819154   -0.572846
  40.0  0.642788   0.766040   -0.644421
  45.0  0.707105   0.707108   -0.706206
  50.0  0.766044   0.642784   -0.767991
  55.0  0.819150   0.573578   -0.818108
  60.0  0.866025   0.499997   -0.868226
  65.0  0.906306   0.422619   -0.905153
  70.0  0.939693   0.342018   -0.942080
  75.0  0.965923   0.258820   -0.964695
  80.0  0.984808   0.173647   -0.987310
  85.0  0.996192   0.087156   -0.994926
  90.0   1.00000   0.000000   -1.002541
  95.0  0.996192  -0.087156   -0.994926
 100.0  0.984808  -0.173647   -0.987310
 105.0  0.965923  -0.258820   -0.964695
 110.0  0.939693  -0.342018   -0.942080
 115.0  0.906306  -0.422619   -0.905153
 120.0  0.866025  -0.499997   -0.868226
 125.0  0.819150  -0.573578   -0.818109
 130.0  0.766044  -0.642784   -0.767991
 135.0  0.707105  -0.707108   -0.706206
 140.0  0.642788  -0.766040   -0.644421
 145.0  0.573575  -0.819154   -0.572846
 150.0  0.500000  -0.866021   -0.501271
 155.0  0.422617  -0.906310   -0.422080
 160.0  0.342020  -0.939688   -0.342889
 165.0  0.258818  -0.965928   -0.258489
 170.0  0.173648  -0.984803   -0.174089
 175.0  0.087156  -0.996197   -0.087045
 180.0  0.000000  -0.999995   -0.000000
 185.0 -0.087155  -0.996197    0.087045
 190.0 -0.173648  -0.984803    0.174089
 195.0 -0.258818  -0.965928    0.258489
 200.0 -0.342020  -0.939688    0.342889
 205.0 -0.422617  -0.906310    0.422080
 210.0 -0.500000  -0.866021    0.501270
 215.0 -0.573575  -0.819154    0.572846
 220.0 -0.642788  -0.766041    0.644421
 225.0 -0.707105  -0.707108    0.706206
 230.0 -0.766044  -0.642784    0.767991
 235.0 -0.819150  -0.573578    0.818108
 240.0 -0.866025  -0.499997    0.868226
 245.0 -0.906306  -0.422619    0.905153
 250.0 -0.939693  -0.342018    0.942080
 255.0 -0.965923  -0.258820    0.964695
 260.0 -0.984808  -0.173647    0.987310
 265.0 -0.996192  -0.087156    0.994926
 270.0  -1.00000  -0.000000    1.002541
 275.0 -0.996192   0.087156    0.994926
 280.0 -0.984808   0.173647    0.987310
 285.0 -0.965923   0.258820    0.964695
 290.0 -0.939693   0.342018    0.942080
 295.0 -0.906306   0.422619    0.905153
 300.0 -0.866025   0.499997    0.868226
 305.0 -0.819150   0.573578    0.818109
 310.0 -0.766045   0.642784    0.767991
 315.0 -0.707105   0.707108    0.706206
 320.0 -0.642788   0.766040    0.644421
 325.0 -0.573575   0.819154    0.572846
 330.0 -0.500000   0.866021    0.501271
 335.0 -0.422617   0.906310    0.422080
 340.0 -0.342020   0.939688    0.342889
 345.0 -0.258819   0.965928    0.258489
 350.0 -0.173648   0.984803    0.174090
 355.0 -0.087156   0.996197    0.087045
 360.0 -0.000000   0.999995    0.000000

s=5.07754e-15

