
t= 0.04  x(t)=4.37846e+00  y(t)=1.18656e+00  z(t)=4.92480e+00
t= 0.24  x(t)=5.79990e+00  y(t)=4.51626e+00  z(t)=4.69280e+00
t= 0.44  x(t)=4.71330e+00  y(t)=4.77019e+00  z(t)=4.70080e+00
t= 0.64  x(t)=4.89990e+00  y(t)=5.25536e+00  z(t)=4.94880e+00
t= 0.84  x(t)=5.64095e+00  y(t)=5.76577e+00  z(t)=5.43680e+00
t= 1.04  x(t)=4.71770e+00  y(t)=6.20442e+00  z(t)=6.16480e+00
t= 1.24  x(t)=7.41141e+00  y(t)=7.53452e+00  z(t)=7.13280e+00
t= 1.44  x(t)=8.00332e+00  y(t)=8.32977e+00  z(t)=8.34080e+00
t= 1.64  x(t)=1.02747e+01  y(t)=1.00646e+01  z(t)=9.78880e+00
t= 1.84  x(t)=1.20068e+01  y(t)=1.20243e+01  z(t)=1.14768e+01
t= 2.04  x(t)=1.39808e+01  y(t)=1.38508e+01  z(t)=1.34048e+01
t= 2.24  x(t)=1.54780e+01  y(t)=1.53646e+01  z(t)=1.55728e+01
t= 2.44  x(t)=1.77797e+01  y(t)=1.75315e+01  z(t)=1.79808e+01
t= 2.64  x(t)=2.06671e+01  y(t)=2.03259e+01  z(t)=2.06288e+01
t= 2.84  x(t)=2.34214e+01  y(t)=2.30730e+01  z(t)=2.35168e+01
t= 3.04  x(t)=2.73239e+01  y(t)=2.64157e+01  z(t)=2.66448e+01
t= 3.24  x(t)=2.91559e+01  y(t)=2.94384e+01  z(t)=3.00128e+01
t= 3.44  x(t)=3.36986e+01  y(t)=3.32519e+01  z(t)=3.36208e+01
t= 3.64  x(t)=3.82333e+01  y(t)=3.74397e+01  z(t)=3.74688e+01
t= 3.84  x(t)=4.15411e+01  y(t)=4.13792e+01  z(t)=4.15568e+01
t= 4.04  x(t)=4.54034e+01  y(t)=4.57688e+01  z(t)=4.58848e+01
t= 4.24  x(t)=5.06014e+01  y(t)=5.05272e+01  z(t)=5.04528e+01
t= 4.44  x(t)=5.54164e+01  y(t)=5.57505e+01  z(t)=5.52608e+01
t= 4.64  x(t)=5.96295e+01  y(t)=6.06647e+01  z(t)=6.03088e+01
t= 4.84  x(t)=6.65221e+01  y(t)=6.61841e+01  z(t)=6.55968e+01
t= 5.04  x(t)=7.08755e+01  y(t)=7.15091e+01  z(t)=7.11248e+01
t= 5.24  x(t)=7.64707e+01  y(t)=7.70208e+01  z(t)=7.68928e+01
t= 5.44  x(t)=8.20892e+01  y(t)=8.32875e+01  z(t)=8.29008e+01
t= 5.64  x(t)=8.90121e+01  y(t)=8.94037e+01  z(t)=8.91488e+01
t= 5.84  x(t)=9.55208e+01  y(t)=9.57576e+01  z(t)=9.56368e+01
t= 6.04  x(t)=1.01896e+02  y(t)=1.02262e+02  z(t)=1.02365e+02
t= 6.24  x(t)=1.08920e+02  y(t)=1.08923e+02  z(t)=1.09333e+02
t= 6.44  x(t)=1.16373e+02  y(t)=1.16353e+02  z(t)=1.16541e+02
t= 6.64  x(t)=1.24037e+02  y(t)=1.23517e+02  z(t)=1.23989e+02
t= 6.84  x(t)=1.31693e+02  y(t)=1.31055e+02  z(t)=1.31677e+02
t= 7.04  x(t)=1.40622e+02  y(t)=1.39207e+02  z(t)=1.39605e+02
t= 7.24  x(t)=1.47106e+02  y(t)=1.46836e+02  z(t)=1.47773e+02
t= 7.44  x(t)=1.55425e+02  y(t)=1.55390e+02  z(t)=1.56181e+02
t= 7.64  x(t)=1.63861e+02  y(t)=1.63839e+02  z(t)=1.64829e+02
t= 7.84  x(t)=1.73696e+02  y(t)=1.73214e+02  z(t)=1.73717e+02
t= 8.04  x(t)=1.82710e+02  y(t)=1.82652e+02  z(t)=1.82845e+02
t= 8.24  x(t)=1.92684e+02  y(t)=1.92306e+02  z(t)=1.92213e+02
t= 8.44  x(t)=2.01401e+02  y(t)=2.02024e+02  z(t)=2.01821e+02
t= 8.64  x(t)=2.11640e+02  y(t)=2.12177e+02  z(t)=2.11669e+02
t= 8.84  x(t)=2.21685e+02  y(t)=2.22391e+02  z(t)=2.21757e+02
t= 9.04  x(t)=2.31814e+02  y(t)=2.32803e+02  z(t)=2.32085e+02
t= 9.24  x(t)=2.41811e+02  y(t)=2.43234e+02  z(t)=2.42653e+02
t= 9.44  x(t)=2.53456e+02  y(t)=2.54300e+02  z(t)=2.53461e+02
t= 9.64  x(t)=2.65031e+02  y(t)=2.65446e+02  z(t)=2.64509e+02
t= 9.84  x(t)=2.75816e+02  y(t)=2.76467e+02  z(t)=2.75797e+02

