
   t       s            y            x(0)         x[1]         x(2)   
  0.00  5.00000e+00  4.45366e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.25  4.68750e+00  5.79460e+00  5.50856e+00  7.60676e-02  4.84784e-03
  0.50  4.75000e+00  4.76250e+00  4.72830e+00  2.17265e-02  5.15474e-03
  0.75  5.18750e+00  5.13860e+00  5.10419e+00  1.30927e-01  3.07622e-02
  1.00  6.00000e+00  6.20415e+00  5.94252e+00  5.10189e-01  1.55950e-01
  1.25  7.18750e+00  5.74040e+00  6.21737e+00  5.81884e-01  1.51985e-01
  1.50  8.75000e+00  9.02861e+00  8.74250e+00  2.16299e+00  7.78554e-01
  1.75  1.06875e+01  1.03500e+01  1.00942e+01  2.97607e+00  1.06118e+00
  2.00  1.30000e+01  1.34859e+01  1.30311e+01  5.00237e+00  1.86290e+00
  2.25  1.56875e+01  1.62175e+01  1.61832e+01  7.10706e+00  2.64510e+00
  2.50  1.87500e+01  1.93260e+01  1.90708e+01  8.71490e+00  3.10305e+00
  2.75  2.21875e+01  2.20927e+01  2.18146e+01  9.95167e+00  3.33751e+00
  3.00  2.60000e+01  2.57989e+01  2.57681e+01  1.21210e+01  4.00507e+00
  3.25  3.01875e+01  3.02258e+01  3.02154e+01  1.43706e+01  4.61651e+00
  3.50  3.47500e+01  3.46546e+01  3.46969e+01  1.62706e+01  4.99304e+00
  3.75  3.96875e+01  4.03666e+01  4.01881e+01  1.87946e+01  5.63874e+00
  4.00  4.50000e+01  4.41431e+01  4.44858e+01  1.96295e+01  5.35001e+00
  4.25  5.06875e+01  5.07653e+01  5.07502e+01  2.21203e+01  5.91025e+00
  4.50  5.67500e+01  5.75145e+01  5.71867e+01  2.43034e+01  6.25666e+00
  4.75  6.31875e+01  6.31718e+01  6.31480e+01  2.55870e+01  6.12990e+00
  5.00  7.00000e+01  6.95186e+01  6.96816e+01  2.70223e+01  6.06045e+00
  5.25  7.71875e+01  7.73361e+01  7.73050e+01  2.92205e+01  6.40472e+00
  5.50  8.47500e+01  8.49056e+01  8.51194e+01  3.11391e+01  6.56671e+00
  5.75  9.26875e+01  9.20082e+01  9.23158e+01  3.19670e+01  6.14893e+00
  6.00  1.01000e+02  1.01925e+02  1.01513e+02  3.45542e+01  6.69288e+00
  6.25  1.09688e+02  1.09438e+02  1.09423e+02  3.53232e+01  6.25664e+00
  6.50  1.18750e+02  1.18328e+02  1.18296e+02  3.67581e+01  6.20321e+00
  6.75  1.28188e+02  1.27376e+02  1.27812e+02  3.83698e+01  6.19835e+00
  7.00  1.38000e+02  1.37863e+02  1.37813e+02  4.01287e+01  6.30017e+00
  7.25  1.48188e+02  1.48071e+02  1.48002e+02  4.16663e+01  6.28210e+00
  7.50  1.58750e+02  1.58282e+02  1.58346e+02  4.29461e+01  6.12585e+00
  7.75  1.69688e+02  1.69275e+02  1.69189e+02  4.43603e+01  6.05294e+00
  8.00  1.81000e+02  1.80833e+02  1.80914e+02  4.62460e+01  6.20345e+00
  8.25  1.92688e+02  1.92736e+02  1.92655e+02  4.77988e+01  6.21242e+00
  8.50  2.04750e+02  2.04766e+02  2.04750e+02  4.93236e+01  6.20868e+00
  8.75  2.17188e+02  2.18205e+02  2.17801e+02  5.14332e+01  6.50329e+00
  9.00  2.30000e+02  2.29333e+02  2.29441e+02  5.16644e+01  5.81859e+00
  9.25  2.43188e+02  2.42432e+02  2.42840e+02  5.33595e+01  5.90891e+00
  9.50  2.56750e+02  2.55783e+02  2.55953e+02  5.43816e+01  5.65976e+00
  9.75  2.70688e+02  2.70666e+02  2.70645e+02  5.66564e+01  6.06082e+00

