
erf(0.00)=0.000000 erf(0.05)=0.056372 erf(0.10)=0.112463 erf(0.15)=0.167996 
erf(0.20)=0.222703 erf(0.25)=0.276326 erf(0.30)=0.328627 erf(0.35)=0.379382 
erf(0.40)=0.428392 erf(0.45)=0.475482 erf(0.50)=0.520500 erf(0.55)=0.563323 
erf(0.60)=0.603856 erf(0.65)=0.642029 erf(0.70)=0.677801 erf(0.75)=0.711156 
erf(0.80)=0.742101 erf(0.85)=0.770668 erf(0.90)=0.796908 erf(0.95)=0.820891 
erf(1.00)=0.842701 erf(1.05)=0.862436 erf(1.10)=0.880205 erf(1.15)=0.896124 
erf(1.20)=0.910314 erf(1.25)=0.922900 erf(1.30)=0.934008 erf(1.35)=0.943762 
erf(1.40)=0.952285 erf(1.45)=0.959695 erf(1.50)=0.966105 erf(1.55)=0.971623 
erf(1.60)=0.976348 erf(1.65)=0.980376 erf(1.70)=0.983790 erf(1.75)=0.986672 
erf(1.80)=0.989091 erf(1.85)=0.991111 erf(1.90)=0.992790 erf(1.95)=0.994179 
erf(2.00)=0.995322

